Level,Proficiency_Bonus,Class_Features
1,2,Fighting Style, Second Wind
2,2,Action Surge 1
3,2,Martial Archetype
4,2,Ability Score Improvement
5,3,Extra Attack
6,3,Ability Score Improvement
7,3,Martial Archetype feature
8,3,Ability Score Improvement
9,4,Indomitable 1
10,4,Martial Archetype feature
11,4,Extra Attack 2
12,4,Ability Score Improvement
13,5,Indomitable 2
14,5,Ability Score Improvement
15,5,Martial Archetype feature
16,5,Ability Score Improvement
17,6,Action Surge 2, Indomitable 3
18,6,Martial Archetype feature
19,6,Ability Score Improvement
20,6,Extra Attack 3
